QUAD_NR,D_xupp_SUM_LCs,D_xlow_SUM_LCs,D_yupp_SUM_LCs,D_ylow_SUM_LCs
425205.0,9.618380644733658e-08,9.096542391151755e-13,8.886340679827056e-12,5.564624785992618e-10
425206.0,1.0784345417755212e-08,4.0896407389989667e-13,3.920829694604248e-11,1.6500089279069964e-09
425207.0,1.6475641044437303e-08,1.2557709939531035e-13,9.072533037841354e-12,1.8839008987720723e-11
425208.0,3.328347565056471e-08,1.3302580657029562e-11,1.3210464177439915e-10,2.51693031477803e-10
425209.0,3.6038338455253895e-08,9.400423183580248e-08,6.168198383094732e-11,5.061858716886575e-10
425210.0,4.0020706369245257e-08,1.621596750899013e-13,1.2151442635355187e-10,1.5006574386647977e-10
425211.0,1.1563196008828398e-07,3.1227413918922782e-12,1.835376099110411e-11,5.3550906351226056e-11
425212.0,1.2370354400305e-07,3.67531521819389e-12,2.0067667813491244e-11,2.840180837005267e-10
425213.0,4.539965266095879e-08,2.1322111347393064e-09,2.7457904174055046e-10,1.890302029173239e-09
425214.0,4.356899832815098e-08,1.0361201650852844e-07,2.9534327660234433e-10,1.5966758664320506e-09
430001.0,0.000267630532203177,1.2533058989114256e-08,2.9705296551339618e-05,0.019326955758030215
430002.0,4.588478772082261e-09,7.106984438666899e-09,1.5750173323280055e-08,1.5175541568481858e-12
430003.0,2.204821500111465e-09,1.4798548249349656e-10,4.859970873096154e-10,1.5373523136968706e-15
430004.0,0.0007553056770042193,8.590167732998071e-05,4.119230229198058e-09,1.271356834918904e-10
430005.0,1.5482508949161454e-16,8.385865696553782e-09,9.384251047046354e-12,1.516482248443053e-08
430006.0,2.5166803018641952e-17,1.4119841212829971e-09,0.49562468072882854,0.0005803774882622944
430007.0,8.02435600845806e-16,2.569431559336533e-08,0.4303534970917384,0.053715185859342145
430008.0,6.07600186164718e-15,4.788797926559539e-08,0.3171320507160569,0.3439366354043624
430009.0,0.01636665198171149,4.003071964008865e-08,0.24247056904480868,0.00195570809549984
430010.0,6.907057797170756e-17,1.2421191843055273e-09,1.3899573510835617,1.1178339551765339e-05
430011.0,0.044056998030148724,5.621409046472421e-07,0.30516200173448466,0.008004526713507647
430012.0,2.548915695474948e-10,9.237238556525609e-17,5.3677302709315695e-11,3.012095692365241e-16
430013.0,3.5988584037080743e-05,0.00014295331286334615,1.110050452890777e-09,9.182500067822597e-14
430014.0,2.303777961283717e-10,4.925856712039304e-16,3.772997173463489e-11,4.8705323989325106e-17
430015.0,2.2961370969050903e-10,1.4252935952472993e-16,6.958464768210702e-12,5.2189243360641274e-17
430016.0,7.081423594177893e-11,3.5311348049789183e-16,4.444594335055373e-10,6.252347104371557e-15
430017.0,1.193026966406829e-14,5.06942799032971e-08,0.11195686178887022,0.0056906182158170115
430018.0,8.388755098600837e-14,5.092173607340013e-09,8.336646291837772e-14,8.244668595622909e-20
430019.0,0.003068409644625028,8.113348355256514e-10,2.2810795405746513e-12,2.9252490657611927e-18
430020.0,1.441942221204784e-12,2.8920609465978542e-08,2.243812653408335e-09,1.507075387032826e-14
430021.0,1.119244151149119e-10,3.985689101335636e-17,6.962253811075854e-10,3.214950614502745e-15
430022.0,2.1825589115070224e-09,6.530272949826035e-16,1.4678814107126396e-10,7.858943554968968e-16
430023.0,8.295785626798279e-05,8.573784679360912e-07,1.06458688618106e-12,8.596000816782042e-18
430024.0,1.0550399506717678e-08,5.716590142435044e-15,1.1586428286192401e-08,1.033491595557422e-13
430025.0,1.5847810069628316e-09,1.0703098171371158e-15,1.3963046907644998e-09,1.394586198881505e-14
430026.0,3.973042618091455e-11,1.6648756853980766e-17,1.005244252047276e-12,7.387736258596418e-18
430027.0,1.4996287305841267e-10,1.590494791062864e-16,9.381849624543747e-10,1.2334869306267409e-14
430028.0,1.9369248236866057e-05,1.1087828531088054e-06,4.80764396845308e-13,5.401604764413541e-18
430029.0,0.042128676445387814,0.0013066213636537957,2.3600837944835393e-12,3.871415867121111e-18
430030.0,1.1627479060394363e-08,1.5012948153535338e-05,8.51748189471801e-12,1.5407596479177743e-17
430031.0,1.329770457376434e-10,2.906513370409998e-07,9.763161277720337e-11,4.968743835109736e-16
430032.0,1.4649809647865649e-10,2.220578536021381e-07,6.694992786692763e-10,7.387356058435986e-15
430033.0,5.876764267811149e-09,8.045508659803362e-05,4.544558022165771e-10,4.858690763512562e-15
430034.0,1.23964513094776e-10,2.787664506019443e-07,1.9135032454297167e-16,9.492890118959357e-22
430035.0,2.4031391101701796e-09,1.2691115535756415e-14,9.525357867024659e-12,1.9794845320426652e-16
430036.0,8.031282091498884e-10,3.06931871336881e-14,1.0204943996770165e-11,1.7824572875827872e-16
430037.0,4.894699417396474e-10,1.476042459421036e-07,1.0686368653956594e-11,2.8489152530673957e-17
430038.0,1.1790485959981093e-16,6.06979804499539e-07,6.637340378896564e-05,0.0012130590530316887
430039.0,2.3150446097837668e-08,1.0643306224098313e-07,4.052537186044587e-05,1.9268555050217006e-05
430040.0,9.161613574728882e-10,1.0202602413654311e-07,6.137321949340661e-05,0.000522703508344446
430041.0,4.267785331506165e-12,1.4696941839680455e-07,4.509369881510329e-06,0.0035132524890225127
430042.0,1.8526718603052135e-12,1.5570553494789078e-09,0.00010427012538789701,0.00622677198082361
430043.0,8.15619262609646e-09,2.39761768375055e-09,2.8178721108721574e-05,0.1428658390124697
430044.0,2.227028981552427e-05,1.986578095850921e-09,0.00026585305600528036,0.12815039370565923
430045.0,4.029455793065837e-10,4.01251209365566e-10,5.5431171771908416e-05,0.0006349277911615305
430046.0,3.947712412814251e-10,2.350662548795733e-06,9.840906903168537e-11,9.627518202015646e-16
430047.0,1.315441551330587e-09,1.3299433508702647e-07,5.26397774360865e-10,3.3416891630831526e-12
430048.0,1.7541545836560577e-10,3.0440712443605474e-07,1.2632198575845703e-09,5.36045772580278e-14
430049.0,2.1335383380284431e-10,4.012607022906854e-07,4.551910246212234e-10,3.840892920042583e-15
430050.0,1.3204596504671898e-08,1.4599091524552362e-09,7.579058065959435e-10,1.7958758159831647e-14
430051.0,1.414234332359584e-08,2.3432475249400106e-09,1.4555076124928613e-10,1.727854584699311e-15
430052.0,0.00016945404219695468,7.309515125709229e-05,1.4070574660466144e-14,5.473329247860099e-20
430053.0,7.159161823773854e-08,4.756107237965295e-08,7.929311272496363e-12,1.397887089954673e-17
430054.0,1.518127487978942e-08,1.484974174579332e-09,8.657827415647454e-10,1.3993004600374413e-11
430055.0,1.9756259389251567e-08,1.773867981932638e-08,4.6822038513150566e-11,1.8361638677294837e-16
430056.0,9.47771666310889e-08,9.006167700442177e-08,6.629197567660397e-10,1.0397592794024836e-12
430057.0,5.878453861362539e-07,6.124613114702884e-08,1.6293158444422062e-09,2.387161163401391e-07
430058.0,0.001105920607730459,3.4179653284015723,3.294487421966451e-13,2.438649939908499e-11
430059.0,8.481503865483596e-06,0.0005570585659939765,2.6478102230631935e-06,0.00024066680893203223
430060.0,1.429010784139464e-10,3.9595366827978124e-14,2.3532104819879366e-14,9.463264745806276e-19
430061.0,4.013395369512847e-05,0.0006525511167585168,2.4056521951183997e-15,5.573113788804581e-20
430062.0,1.538868970660792e-07,1.2372246045221807e-09,1.1880530993165818e-07,2.092727562066761e-05
430063.0,8.681647694300471e-06,1.6514799206351025e-10,3.231770375734359e-11,1.7787657117718306e-08
430064.0,2.089493438487271e-06,1.8560735232577603e-06,5.017406789326585e-12,2.138218026914878e-16
430065.0,6.743587672079116e-06,2.431183912344363e-10,9.214267998735552e-12,1.327817175145138e-16
430066.0,3.499812413284138e-06,3.701093162010037e-07,2.8303325994437062e-09,3.1584285834139064e-07
430067.0,1.8576475322688312e-07,1.7784435391688503e-07,9.559507218832575e-10,1.6848453247957178e-08
430068.0,2.061972858936594e-07,1.9174650962930974e-07,1.6384363069186347e-10,1.2164904059188183e-10
430069.0,2.1999243111253533e-06,2.396743549204488e-07,1.6976118371370696e-09,2.747391503250681e-07
430070.0,6.853744420647237e-11,6.948074305998808e-15,1.2687960959664752e-11,1.2870553289923046e-16
430071.0,2.4603953951021946e-10,1.1231137382102737e-15,2.363667307621082e-11,2.5893216769267667e-16
430072.0,8.3431563981619e-11,1.7726628708281058e-07,2.6656940661525328e-12,1.4842289731821585e-17
430073.0,1.5618283109148706e-10,8.721708690463094e-10,7.280847096186858e-12,2.974784645434765e-17
430074.0,6.677890700772276e-11,4.992038785153201e-16,7.426420457369894e-11,9.47809392972199e-16
430075.0,3.4966705982838573e-12,1.443073729351262e-14,2.1368056739679498e-11,2.6616460638035343e-16
430076.0,1.2005181164662049e-06,0.00014633731004147122,5.104478030485141e-06,1.490888139810469e-07
430077.0,9.195925464579943e-06,3.936776683194701e-06,1.3388599494841324e-06,1.2439999403983938e-06
430078.0,1.7810118225001603e-06,3.6545050568334677e-10,2.2915895615734335e-11,3.313011985319855e-16
430079.0,2.7461764550215208e-05,0.0008296060147062439,5.724431411296684e-12,1.0461893583525097e-16
430080.0,2.6718104595305017e-08,0.0001454186517880894,3.3870596731438198e-12,2.5113327842118616e-17
430081.0,5.649706198485991e-11,1.3467568072930887e-15,8.038379272102318e-11,9.770383119067453e-16
430082.0,0.0005266763941184087,1.5335654227298875e-09,3.915498987691111e-05,0.00020232406007894655
430083.0,0.00013665180453992546,7.672582430782689e-08,0.0001916907366683256,0.00044990322930399374
430084.0,5.41643922239293e-07,6.099626300215253e-07,0.00031667215847201025,0.006803061633553254
430085.0,0.00024850461276029436,0.8252314456229741,6.745848805829662e-05,0.00012127855293888778
430086.0,6.035007668220592e-10,1.6897042134457673e-14,7.357445631868852e-11,1.2020003673351428e-15
430087.0,1.6093392225875917e-10,1.0348853652304296e-08,2.274154563304078e-14,7.751226385130177e-20
430088.0,2.2067677271549097e-06,0.0005763984354996065,5.4869568192738926e-14,1.8303440543525505e-18
430089.0,7.532485936085162e-09,2.8257800371545887e-14,1.2701149008123654e-09,1.7345178732560477e-14
430090.0,5.061073879580052e-10,4.259433880635912e-15,5.685513676221085e-13,1.8142303514445384e-17
430091.0,4.4927677253814706e-10,1.7163392529277298e-13,3.291224544380836e-11,5.197525717942167e-16
430092.0,1.7578946609786189e-09,2.2186232839449347e-10,4.050884357129554e-10,5.392269615370828e-08
430093.0,2.834059077995063e-07,2.2294303383322877e-07,2.8394594017925615e-11,1.915661980266738e-13
430094.0,5.2390881280616855e-08,1.1487481176657455e-10,3.725552886251002e-11,3.95737736114042e-09
430095.0,3.75117699280515e-15,5.31541744269968e-20,9.287053273658902e-16,4.084950139898952e-19
430096.0,3.0148612810210913e-16,4.2893953227554397e-19,2.392161653214661e-16,1.311941720299936e-18
430097.0,7.149433082966026e-17,5.6458200917357315e-22,9.930972813209906e-17,3.3224260696955108e-21
430098.0,1.727122243583169e-16,1.2036568465099132e-22,2.76628748008312e-17,3.089723892947011e-21
430099.0,1.4911634684548955e-17,1.6996544351532213e-14,6.6822386543702544e-15,5.405280474027716e-19
430100.0,3.6203200084650107e-16,1.5720604247301294e-19,3.825259834639214e-15,5.238460957402919e-19
430101.0,5.19104861271447e-17,2.844402557330579e-22,5.165458967136516e-17,2.717287960097955e-20
430102.0,3.900018471767068e-18,6.56734803956502e-19,2.6962425306650424e-16,5.492709331570467e-20
430103.0,4.336890917884638e-12,9.499057140797162e-18,5.0247925721310805e-11,5.502223879622212e-16
430104.0,0.0002726321563140308,0.0002848352840399774,1.6157514175939593e-11,6.620757420624444e-17
430105.0,0.00026422821804078685,0.0015798014907559207,0.0007990998411178778,0.0759462648613666
430106.0,9.638801964694833e-11,1.2447404680994596e-16,1.1360770358063015e-09,1.9624945715670598e-13
430107.0,7.325168641441894e-07,1.3538381687361552e-08,0.01597911009665616,1.4541891112685201
430108.0,0.0016711479076763546,0.00023245175814633066,0.0017827846038048648,0.029625719213660542
430109.0,0.003426678262403119,4.5381586614648775e-05,0.0036418552342649987,0.005591237097866507
430110.0,6.431475504370011e-06,4.80902330158569e-10,0.0003149631321013796,0.005073745676877189
430111.0,3.811500928824709e-12,4.877176114515075e-14,1.580861452092267e-13,4.001322761429722e-17
430112.0,1.8067663534085708e-14,1.7910625466472719e-16,5.718672609884277e-14,2.9454705865212015e-15
430113.0,3.290270761302793e-14,1.094963048856113e-16,1.6943371813541694e-13,5.64943287372724e-17
430114.0,1.6054750795180898e-14,6.411182496229657e-16,1.7435088325374025e-12,8.318445289441511e-16
430115.0,1.7420631039774426e-18,5.64514384401125e-25,1.661405452089704e-11,2.8961346656924047e-16
430116.0,4.231739466258931e-16,6.727496895915843e-22,6.4241673638511125e-12,2.4760192861665176e-16
