QUAD_NR,D_x_SUM_LCs,D_y_SUM_LCs
420058.0,0.005984962931892056,2.5045159816952707e-05
420059.0,0.0073865325403961015,6.484075929038263e-05
420060.0,3.656142243775726e-11,4.974474824533906e-05
420061.0,0.0024880730964850174,1.2164743524990927e-05
420062.0,3.984392958587351e-11,8.876080787727959e-06
420063.0,4.480162960057416e-22,2.3558992891666214e-05
420064.0,9.227616074418035e-05,1.909950535212022e-05
420065.0,3.199558885813647e-07,8.535775022499981e-36
420066.0,2.7036091632437545e-13,1.0145455064682074e-26
420067.0,1.628522625592636e-13,7.0804160443669145e-06
420068.0,1.1806518467116917e-06,4.3361472470180195e-05
420069.0,1.8244444178521749e-09,8.422752897215977e-06
420070.0,5.7626793282578996e-12,1.2128446524061503e-05
420071.0,6.8377891915900854e-12,1.7808725665651016e-05
420072.0,2.784164470494123e-10,1.735007540793321e-05
420073.0,1.4951030524027834e-05,4.357498540043632e-06
420074.0,1.667699443125768e-05,4.432221856829602e-06
420075.0,4.337597063234518e-05,2.7134034595362312e-05
420076.0,2.2968777352682252e-05,6.699429652973669e-06
420077.0,3.712915535084882e-15,2.055947606690826e-07
420078.0,1.781299854847266e-06,1.9481587481523203e-07
420079.0,1.5109426344644419e-05,2.345302766482252e-06
420080.0,1.8210728436840034e-11,1.3643886147847036e-08
420081.0,0.001256255871579021,8.276764013987744e-05
420082.0,3.8389819937582166e-08,0.00013124041405109628
420083.0,1.6919049593237828e-07,4.1480703463574775e-06
420084.0,1.306052357151866e-12,3.7607978983055654e-05
420085.0,1.4404948640255952e-06,5.443631953880648e-05
420086.0,3.517193853200602e-07,2.609020352087449e-05
420087.0,1.3104334953421062e-07,7.23996027330893e-05
420088.0,1.6048222885673785e-07,7.250384427096395e-05
420089.0,2.0969826558229305e-07,3.6758404752951806e-05
420090.0,6.782124543726363e-07,4.777604708347885e-05
420091.0,9.850388115914933e-06,3.350441264926855e-05
420092.0,1.8029389368706897e-07,3.852695087399507e-05
420093.0,1.378066773362764e-12,2.0229039128218845e-06
420094.0,0.0017428117571777937,1.422988665900314e-05
420095.0,4.067354958020773e-05,4.000478727869781e-05
420096.0,6.008092616117061e-06,3.623367636169537e-11
420097.0,3.1615741839932424e-09,2.3923774912439793e-05
420098.0,2.148254523327984e-07,2.1728346629353824e-05
420099.0,2.3046558161322728e-09,1.2702467993979671e-05
420100.0,4.984276752344888e-12,1.4379303279332289e-05
420101.0,1.314408922251682e-05,2.830356418768383e-05
420102.0,7.092955481017536e-14,0.0003748241404583254
420103.0,2.3615935815734673e-13,0.0007985657736262521
420104.0,3.138766347467797e-07,0.0001454617624755836
420105.0,2.6554889680720562e-08,5.607645835570873e-05
420106.0,5.224230813364326e-09,1.2727879488727843e-05
420107.0,1.2232616425487373e-08,4.446279749363344e-05
420108.0,2.50028925617544e-08,2.85782310906434e-05
420109.0,6.499429573171299e-27,2.6142869761837444e-05
420110.0,3.929192333735032e-30,1.3344430541623039e-05
420111.0,6.0322332279546155e-12,1.7054518041225842e-05
420112.0,2.0872423347229884e-05,1.0373612706191864e-05
420113.0,0.00012078695479894213,4.295510585692275e-05
420114.0,1.2395990146845403e-05,5.01561824851497e-05
420115.0,0.0003272883429294859,3.81641528787515e-05
420116.0,7.125236832452007e-05,7.349555976910284e-05
420117.0,1.540508727865195e-05,4.784035304153605e-05
420118.0,2.6129665492082604e-05,3.151102431170937e-05
420119.0,1.0702507962752963e-05,1.2848313699457723e-05
420120.0,0.00014440492545377627,2.536452721309356e-05
420121.0,8.204804676072097e-20,5.206922476724955e-05
420122.0,5.776243932308457e-16,7.523364814304244e-05
420123.0,0.0008438810495774399,6.098782580372311e-05
420124.0,7.623021786604552e-06,7.611386134801622e-05
420125.0,1.9973238971630055e-05,2.006875604190263e-05
420126.0,5.5037034743031895e-06,4.0894531883710515e-05
420127.0,1.8342903796236722e-05,0.00013296470337215892
420128.0,1.7706000234271773e-14,9.062861713066942e-06
420129.0,1.5405878947711282e-10,1.5916701420315183e-05
420130.0,1.3634926195605727e-06,2.7373365829714087e-06
420131.0,1.1909901762886256e-10,4.905793349379033e-05
420132.0,8.17876139275503e-05,1.4476820637160915e-05
420133.0,0.0002070761280435583,1.0351305455568552e-05
420134.0,0.00022688633606790607,5.875498501790214e-07
420135.0,1.761583353251206e-05,1.3837813567691141e-05
420136.0,5.731190438035076e-05,1.4776929571301864e-07
420137.0,2.5540790365847323e-05,3.312333561251597e-05
420138.0,4.6018782505749364e-05,6.638725194238067e-05
420139.0,0.00017701702306887205,8.361726202056717e-05
